Slug	EN	DE	PL	RU	NL	FR	CZ	UA	HR	GR	PT	TR	BG	HU	ES	IT	SR	RO
here_is_an_example	Here is an example for  telephone number  "0049 (0) 172 1234 567" 1) Tap the flag and  select country "Germany" 2) After that, tap  the input field and enter  1721234567. Please do  not enter the country  code again, do not use  spaces and do not enter  a leading "O" for the area code	Beispiel für die Erfassung  der Telefonnummer  "0049 (0) 172 1234567 1) Tippen Sie auf die  Flagge und wählen als  Land "Deutschland" aus 2) Tippen Sie anschließend  auf das Eingabefeld und  geben Sie 1721234567  ein. Bitte geben Sie die  Landesvorwahl nicht erneut  ein. Verwenden Sie keine  Leerzeichen und geben Sie  keine "O" für die Ortsvorwahl ein.	Oto przykład  numer telefonu  „0049 (0) 172 1234 567” 1) Stuknij flagę i Wybierz kraj „Niemcy” 2) Następnie dotknij  pole wejściowe i wpisz 1721234567. Proszę, zrób  nie wchodzenie do kraju Znowu kod, nie używaj przestrzenie i nie wchodzą Wiodący „O” dla kodu obszarowego	Вот пример для  номер телефона  "0049 (0) 172 1234 567" 1) Нажмите на флаг и Выберите страну "Германия" 2) После этого нажмите  поле ввода и введите 1721234567. Пожалуйста, сделайте  не входить в страну код снова, не используйте пробелы и не входите ведущий "O" для кода области	Hier is een voorbeeld voor  telefoon nummer  "0049 (0) 172 1234 567" 1) Tik op de vlag en Selecteer land "Duitsland" 2) Tik daarna  het invoerveld en voer in 1721234567.  Ga niet het land binnen Nogmaals code, gebruik niet Spaces en ga niet binnen Een toonaangevende "O" voor het netnummer	Voici un exemple pour  numéro de téléphone  "0049 (0) 172 1234 567" 1) Appuyez sur le drapeau et Sélectionnez le pays "Allemagne" 2) Après cela, tapez  le champ de saisie et entrez 1721234567. Veuillez faire  pas entrer dans le pays Code à nouveau, n'utilisez pas espaces et n'entrez pas un "O" leader pour le code régional	Zde je příklad pro  telefonní číslo  "0049 (0) 172 1234 567" 1) Klepněte na příznak a Vyberte zemi „Německo“ 2) Poté klepněte  vstupní pole a vstup 1721234567. Prosím  nevstoupit do země Opět kód, nepoužívejte prostory a nevstupujte Přední „o“ pro kód oblasti	Ось приклад для  номер телефону  "0049 (0) 172 1234 567" 1) Торкніться прапор і Вибір країни "Німеччина" 2) Після цього торкніться  поле введення та введіть 1721234567. Будь ласка  не входити в країну Код ще раз, не використовуйте пробіли і не входять провідний "O" для коду області	Evo primjera za  telefonski broj  "0049 (0) 172 1234 567" 1) Dodirnite zastavu i Odaberite zemlju "Njemačka" 2) Nakon toga dodirnite  ulazno polje i unesite 1721234567. Molim vas  ne ulaziti u zemlju Kôd opet, ne koristite prostori i ne ulaze Vodeći "O" za pozivni broj	Ακολουθεί ένα παράδειγμα για  αριθμός τηλεφώνου  "0049 (0) 172 1234 567" 1) Πατήστε τη σημαία και Επιλέξτε χώρα "Γερμανία" 2) Μετά από αυτό, πατήστε  το πεδίο εισόδου και εισάγετε 1721234567.  να μην εισέλθετε στη χώρα Κωδικός ξανά, μην χρησιμοποιείτε Χώροι και μην εισάγετε Ένα κορυφαίο "O" για τον κωδικό περιοχής	Aqui está um exemplo para  número de telefone  "0049 (0) 172 1234 567" 1) Toque na bandeira e Selecione país "Alemanha" 2) Depois disso, toque  o campo de entrada e entrar 1721234567. Por favor, faça  não entra no país código novamente, não use espaços e não entra um "O" líder para o código de área	İşte bir örnek  telefon numarası  "0049 (0) 172 1234 567" 1) Bayrağa dokunun ve Ülke "Almanya" seçin 2) Bundan sonra dokunun  giriş alanı ve girin 1721234567. Lütfen yapın  ülkeye girme Tekrar kod, kullanmayın boşluklar ve girmeyin Alan kodu için önde gelen bir "O"	Ето пример за  телефонен номер  "0049 (0) 172 1234 567" 1) Докоснете знамето и Изберете държава "Германия" 2) След това докоснете  полето за въвеждане и въведете 1721234567. Моля, направете  не влизайте в страната код отново, не използвайте пространства и не влизайте Водещ "O" за районния код	Itt van egy példa a  telefonszám  "0049 (0) 172 1234 567" 1) Érintse meg a zászlót és Válassza ki a "Németország" országot 2) Ezután koppintson rá  a bemeneti mező és írja be 1721234567. Kérjük, tegye meg  ne lépjen be az országba Kód újra, ne használja terek és nem lépnek be vezető "o" a körzetszámhoz	Aquí hay un ejemplo para  número de teléfono  "0049 (0) 172 1234 567" 1) Toque la bandera y Seleccionar país "Alemania" 2) Después de eso, toque  el campo de entrada e ingresar 1721234567. por favor haz  no entrar en el país código de nuevo, no use espacios y no entra una "O" líder para el código de área	Ecco un esempio per numero di telefono '0049 (0) 172 1234 567'\n1) Tocca la bandiera e Seleziona il paese 'Germania'\n2) Successivamente, tocca il campo di inserimento e inserisci 1721234567. Non inserire nuovamente il prefisso internazionale e non utilizzare spazi. Se ricevi un avviso relativo allo '0' iniziale nel numero di telefono, controlla se è comune omettere il prefisso '0' iniziale nel tuo paese.	Ево примера за  број телефона  "0049 (0) 172 1234 567" 1) Додирните заставу и Изаберите земљу "Немачка" 2) Након тога, тапните на  поље за унос и унос 1721234567. Молим вас да урадите  не улази у земљу поново код, не користите размаци и не улазите водећи "О" за позивни број	Iată un exemplu pentru  număr de telefon  "0049 (0) 172 1234 567" 1) Atingeți steagul și Selectați țara „Germania” 2) După aceea, atingeți  Câmpul de intrare și introduceți 1721234567. Vă rugăm să faceți  nu intra în țară Cod din nou, nu folosiți spații și nu intrați un „O” lider pentru codul de zonă
device_name_must	Device name must be at least 4 characters long	Der Gerätename muss  mindestens 4 Zeichen lang sein	Nazwa urządzenia musi mieć co najmniej 4 znaki	Имя устройства должно быть не менее 4 символов в длину	Apparaatnaam moet minimaal 4 tekens lang zijn	Le nom de l'appareil doit comporter au moins 4 caractères	Název zařízení musí být dlouhý nejméně 4 znaky	Назва пристрою повинна бути не менше 4 символів	Naziv uređaja mora biti najmanje 4 znaka	Το όνομα της συσκευής πρέπει να έχει μήκος τουλάχιστον 4 χαρακτήρες	O nome do dispositivo deve ter pelo menos 4 caracteres	Cihaz adı en az 4 karakter uzunluğunda olmalı	Името на устройството трябва да е дълго поне 4 знака	Az eszköz nevének legalább 4 karakter hosszúnak kell lennie	El nombre del dispositivo debe tener al menos 4 caracteres	Il nome del dispositivo deve essere lungo almeno 4 caratteri	Назив уређаја мора бити дугачак најмање 4 знака	Numele dispozitivului trebuie să aibă cel puțin 4 caractere
telephone_number_must	Telephone number must be  between 7 and 15 numbers long	Telefonnummer muss  zwischen 7 und 15 Zahlen lang sein	Numer telefonu musi być między 7 a 15 liczbami	Телефон должен быть от 7 до 15 чисел длиной	Telefoonnummer moet zijn Tussen 7 en 15 nummers lang	Le numéro de téléphone doit être entre 7 et 15 numéros de long	Telefonní číslo musí být mezi 7 a 15 čísly dlouhými	Номер телефону повинен бути від 7 до 15 чисел завдовжки	Telefonski broj mora biti dugačak između 7 i 15 brojeva	Ο αριθμός τηλεφώνου πρέπει να είναι Μεταξύ 7 και 15 αριθμών	O número de telefone deve ser entre 7 e 15 números de longa duração	Telefon numarası olmalı 7 ila 15 sayı arasında	Телефонният номер трябва да бъде между 7 и 15 числа с дълги	A telefonszámnak kell lennie 7 és 15 szám között hosszú	El número de teléfono debe ser entre 7 y 15 números de largo	Il numero di telefono deve essere Tra 7 e 15 numeri lunghi	Телефонски број мора бити између 7 и 15 бројева	Numărul de telefon trebuie să fie între 7 și 15 numere lungi
no_internet_connection	You are offline. An internet connection is needed to proceed.	Sie sind offline. Für diese Funktion ist eine Internetverbindung erforderlich.	Jesteś odłączony od sieci. Do kontynuacji potrzebne jest połączenie internetowe.	Ты не в сети. Подключение к Интернету необходимо для продолжения.	Je bent offline. Een internetverbinding is nodig om door te gaan.	Tu es hors ligne. Une connexion Internet est nécessaire pour continuer.	Jsi offline. K pokračování je zapotřebí připojení k internetu.	Ви офлайн. Для продовження необхідне підключення до Інтернету.	Vi ste izvan mreže. Za nastavak potrebna je internetska veza.	Είστε εκτός σύνδεσης. Απαιτείται σύνδεση στο Διαδίκτυο για να προχωρήσετε.	Você está offline. É necessária uma conexão com a Internet para prosseguir.	Çevrimdışısınız. Devam etmek için bir internet bağlantısı gereklidir.	Не си на линия. Необходима е интернет връзка, за да се продължи.	Offline vagy. Internetkapcsolat szükséges a folytatáshoz.	Estas desconectado. Se necesita una conexión a Internet para continuar.	Sei offline. È necessaria una connessione Internet per procedere.	Ти си одсутан тренутно. Интернет веза је потребна за наставак.	Esti deconectat. O conexiune la internet este necesară pentru a continua.
chose_driver_option_title	To create a driver profile on this device, you need to have a CTC driver account.	Zur Erstellung eines Fahrer-Profils auf diesem Gerät benötigen Sie ein CTC-Fahrer-Konto.	Aby utworzyć profil sterownika na tym urządzeniu, musisz mieć konto sterownika CTC.	Чтобы создать профиль драйвера на этом устройстве, вам необходимо иметь учетную запись драйвера CTC.	Om een ​​stuurprogramma -profiel op dit apparaat te maken, moet u een CTC -stuurprogramma -account hebben.	Pour créer un profil de pilote sur cet appareil, vous devez avoir un compte CTC Driver.	Chcete -li vytvořit profil ovladače na tomto zařízení, musíte mít účet ovladače CTC.	Щоб створити профіль драйвера на цьому пристрої, вам потрібно мати обліковий запис драйвера CTC.	Da biste stvorili profil upravljačkog programa na ovom uređaju, morate imati CTC račun upravljačkog programa.	Για να δημιουργήσετε ένα προφίλ προγράμματος οδήγησης σε αυτήν τη συσκευή, πρέπει να έχετε λογαριασμό προγράμματος οδήγησης CTC.	Para criar um perfil de driver neste dispositivo, você precisa ter uma conta de driver CTC.	Bu cihazda bir sürücü profili oluşturmak için bir CTC sürücü hesabına sahip olmanız gerekir.	За да създадете профил на драйвер на това устройство, трябва да имате акаунт в CTC драйвер.	A járművezető profil létrehozásához ezen az eszközön CTC illesztőprogram -fiókkal kell rendelkeznie.	Para crear un perfil de controlador en este dispositivo, debe tener una cuenta de controlador CTC.	Per creare un profilo del driver su questo dispositivo, è necessario disporre di un account driver CTC.	Да бисте створили профил управљачког програма на овом уређају, морате да имате ЦТЦ рачунарски рачун.	Pentru a crea un profil de șofer pe acest dispozitiv, trebuie să aveți un cont de șofer CTC.
chose_driver_existing_account	Already have a CTC account	Haben bereits ein CTC -Konto	Mają już konto CTC	Уже есть учетная запись CTC	Heb al een CTC -account	J'ai déjà un compte CTC	Již máte účet CTC	Вже є обліковий запис CTC	Već imate CTC račun	Έχετε ήδη λογαριασμό CTC	Já tem uma conta CTC	Zaten bir CTC hesabınız var	Вече имат CTC акаунт	Már van CTC -fiókja	Ya tengo una cuenta CTC	Avere già un account CTC	Већ имате ЦТЦ рачун	Aveți deja un cont CTC
chose_driver_new_account	If you do not have such a CTC driver account:	Falls Sie noch nicht über ein CTC-Fahrer-Konto verfügen: \nKontaktieren Sie entweder Ihr Transportunternehmen, um ein „Corporate“-Konto zu erstellen; oder wählen Sie die Option 	Jeśli nie masz takiego konta sterownika CTC:	Если у вас нет такой учетной записи драйвера CTC:	Als u niet zo'n CTC -stuurprogramma -account heeft:	Si vous n'avez pas un tel compte CTC Driver:	Pokud nemáte takový účet ovladače CTC:	Якщо у вас немає такого облікового запису драйвера CTC:	Ako nemate takav CTC račun upravljačkog programa:	Εάν δεν έχετε τέτοιο λογαριασμό προγράμματος οδήγησης CTC:	Se você não possui uma conta de driver CTC:	Böyle bir CTC sürücü hesabınız yoksa:	Ако нямате такъв акаунт в CTC драйвер:	Ha nincs ilyen CTC illesztőprogram -fiókja:	Si no tiene una cuenta de controlador CTC:	Se non si dispone di un tale account driver CTC:	Ако немате тако ЦТЦ рачунарски рачун:	Dacă nu aveți un astfel de cont de șofer CTC: fie contactați transportatorul dvs. pentru a crea un cont de șofer „corporativ”, fie alegeți opțiunea
chose_driver_new_account_part2	, to create your own „Personal“ driver account using your email address.	, um sich mittels Ihrer E-Mail-Adresse ein eigenes „Personal“-Konto zu erstellen.	, aby utworzyć własne konto „osobistego” sterownika za pomocą adresu e -mail.	, чтобы создать свою собственную «личную» учетную запись драйвера, используя свой адрес электронной почты.	, om uw eigen "persoonlijke" stuurprogramma -account te maken met behulp van uw e -mailadres.	, pour créer votre propre compte de pilote «personnel» en utilisant votre adresse e-mail.	, pro vytvoření vlastního „osobního“ účtu řidiče pomocí vaší e -mailové adresy.	, щоб створити власний „особистий” обліковий запис драйвера за допомогою вашої електронної адреси.	, za stvaranje vlastitog „osobnog“ računa upravljačkog računa pomoću vaše adrese e -pošte.	, για να δημιουργήσετε το δικό σας "προσωπικό" λογαριασμό οδηγού χρησιμοποιώντας τη διεύθυνση email σας.	, para criar sua própria conta de driver "pessoal" usando seu endereço de e -mail.	, e -posta adresinizi kullanarak kendi „kişisel” sürücü hesabınızı oluşturmak için.	, за да създадете свой собствен „личен“ акаунт на драйвера, като използвате вашия имейл адрес.	, saját „személyes” illesztőprogram -fiók létrehozásához az Ön e -mail címével.	, para crear su propia cuenta de conductor "personal" utilizando su dirección de correo electrónico.	, per creare il tuo account driver "personale" utilizzando il tuo indirizzo email.	, Да бисте креирали сопствени "лични" налог управљачког програма користећи своју адресу е-поште.	, pentru a vă crea propriul cont de șofer „personal” folosind adresa dvs. de e-mail.
validation_message   	At least one driver masterdata field has been updated or its validation has expired.	Mindestens ein Feld MasterData von Treiber wurde aktualisiert oder seine Validierung ist abgelaufen.	Co najmniej jedno pole MasterData kierowcy zostało zaktualizowane lub jego sprawdzanie poprawności.	По крайней мере, одно поле Masterdata драйвера было обновлено или его проверка истек.	Ten minste één MasterData -veld met stuurprogramma's is bijgewerkt of de validatie ervan is verlopen.	Au moins un champ Masterdata de pilotes a été mis à jour ou sa validation a expiré.	Bylo aktualizováno alespoň jedno pole MasterData ovladače nebo jeho ověření vypršelo.	Принаймні одне поле драйвера MasterData оновлено або його перевірка закінчилася.	Najmanje jedno polje MasterData vozača je ažurirano ili je njegova provjera istekla.	Τουλάχιστον ένα πεδίο MasterData του οδηγού έχει ενημερωθεί ή η επικύρωσή του έχει λήξει.	Pelo menos um campo de mestre do driver foi atualizado ou sua validação expirou.	En az bir sürücü masterdata alanı güncellendi veya doğrulaması süresi doldu.	Поне едно поле на Driver MasterData е актуализирано или валидирането му е изтекъл.	Legalább egy illesztőprogram Mastardata mezőt frissítettek, vagy annak érvényesítése lejárt.	Al menos un campo de Driver MasterData se ha actualizado o su validación ha expirado.	Almeno un campo MasterData Driver è stato aggiornato o la sua convalida è scaduta.	Најмање једно поље Дривер Мастердата је ажурирано или је његова потврда истекла.	Cel puțin un câmp MasterData Driver a fost actualizat sau validarea acestuia a expirat.
validation_message_with_placeholder	You may have to contact the destination %s to validate the field.	Möglicherweise müssen Sie sich an das Ziel %s melden, um das Feld zu validieren.	Może być konieczne skontaktowanie się z miejscem docelowym S, aby potwierdzić pole.	Возможно, вам придется связаться с назначением %s, чтобы проверить поле.	Mogelijk moet u contact opnemen met de bestemming %s om het veld te valideren.	Vous devrez peut-être contacter la destination% S pour valider le champ.	Možná budete muset kontaktovat cíl %S a ověřit pole.	Можливо, вам доведеться звернутися до пункту призначення %s, щоб перевірити поле.	Možda ćete morati kontaktirati odredište %s da biste potvrdili polje.	Μπορεί να χρειαστεί να επικοινωνήσετε με τον προορισμό %S για να επικυρώσετε το πεδίο.	Você pode precisar entrar em contato com os %s de destino para validar o campo.	Alanı doğrulamak için hedef %s ile iletişime geçmeniz gerekebilir.	Може да се наложи да се свържете с дестинацията %s, за да валидирате полето.	Előfordulhat, hogy kapcsolatba kell lépnie a %S célponttal a mező validálásához.	Es posible que deba comunicarse con el destino %s para validar el campo.	Potrebbe essere necessario contattare la destinazione %s per convalidare il campo.	Можда ћете морати да се обратите одредишту% с да бисте потврдили поље.	Este posibil să fiți nevoit să contactați destinația %s pentru a valida câmpul.
driver_not_associated_with_company	This account can not be used on this device	Dieses Konto kann auf diesem Gerät nicht verwendet werden	To konto nie można użyć na tym urządzeniu	Эта учетная запись не может быть использована на этом устройстве	Dit account kan niet op dit apparaat worden gebruikt	Ce compte ne peut pas être utilisé sur cet appareil	Tento účet nelze na tomto zařízení použít	Цей обліковий запис не можна використовувати на цьому пристрої	Ovaj se račun ne može koristiti na ovom uređaju	Αυτός ο λογαριασμός δεν μπορεί να χρησιμοποιηθεί σε αυτήν τη συσκευή	Esta conta não pode ser usada neste dispositivo	Bu hesap bu cihazda kullanılamaz	Този акаунт не може да се използва на това устройство	Ez a fiók nem használható ezen az eszközön	Esta cuenta no se puede usar en este dispositivo	Questo account non può essere utilizzato su questo dispositivo	Овај рачун се не може користити на овом уређају	Acest cont nu poate fi utilizat pe acest dispozitiv
needs-attention	Needs attention	Erfordert Aufmerksamkeit	Potrzebuje uwagi	Необходимо внимание	Heeft aandacht nodig	Besoin d'attention	Potřebuje pozornost	Потребує уваги	Treba pažnju	Χρειάζεται προσοχή	Precisa de atenção	Dikkat çekmeye ihtiyaç	Се нуждае от внимание	Szüksége van a figyelemre	Necesita atención	Ha bisogno di attenzione	Потребна је пажња	Are nevoie de atentie
carrier-list	Carrier list	Trägerliste	Lista przewoźników	Список перевозчиков	Carrierlijst	Liste des transporteurs	Seznam nosičů	Список перевізників	Popis nosača	Λίστα φορέων	Lista de transportadoras	Taşıyıcı listesi	Списък на превозвачите	Szállítói lista	Lista de operadores	Elenco dei vettori	Листа носача	Lista de transportatori
vehicles_label	Vehicles	Fahrzeuge	Pojazdy	Транспортные средства	Voertuigen	Véhicules	Vozidla	Транспортні засоби	Vozila	Οχήματα	Veículos	Araçlar	Превозни средства	Járművek	Vehículos	Veicoli	Возила	Vehicule
add_custom_name	Add a custom name	Fügen Sie einen benutzerdefinierten Namen hinzu	Dodaj niestandardową nazwę	Добавить пользовательское имя	Voeg een aangepaste naam toe	Ajouter un nom personnalisé	Přidejte vlastní jméno	Додайте власну назву	Dodajte prilagođeno ime	Προσθέστε ένα προσαρμοσμένο όνομα	Adicione um nome personalizado	Özel Bir Ad Ekle	Добавете персонализирано име	Adjon hozzá egy egyedi nevet	Agregar un nombre personalizado	Aggiungi un nome personalizzato	Додајте прилагођено име	Adăugați un nume personalizat
name_will_be_displayed	Name will be displayed in the\n“Driver profiles” list	Der Name wird in der Liste \ n "Treiberprofile" angezeigt	Nazwa zostanie wyświetlona na liście „Profile sterowników”	Имя будет отображаться в списке «Профили драйверов».	Naam wordt weergegeven in de lijst "Driver Profiles"	Le nom sera affiché dans la liste \ n «Profils de pilotes»	Název se zobrazí v seznamu \ n „profily ovladačů“	Ім'я відображатиметься у списку \ n «Профілі драйверів»	Ime će biti prikazano na popisu \ n "profila upravljačkih programa"	Το όνομα θα εμφανίζεται στη λίστα \ n "Προφίλ προγράμματος οδήγησης"	O nome será exibido na lista \ n “perfis de driver”	Adı \ n “Sürücü Profilleri” listesinde görüntülenecek	Името ще се показва в списъка \ n „Профили на драйвери“	A név megjelenik az \ n „illesztőprofilok” listában	El nombre se mostrará en la lista de \ n "Perfiles de controladores"	Il nome verrà visualizzato nell'elenco \ n "Profili del driver"	Име ће се приказати на листи \ н "Профили управљачких програма"	Numele va fi afișat în lista „Profiluri de șofer”
change	Change	Ändern	Zmiana	Изменять	Wijziging	Changement	Změna	Зміна	Promijeniti	Αλλαγή	Mudar	Değiştirmek	Промяна	változás	Cambiar	Modifica	Променити	Schimbare
user_info	User info	Benutzerinformation	Informacje użytkownika	Информация пользователя	Gebruikers informatie	Informations utilisateur	Uživatelské informace	Інформація про користувача	Podaci o korisniku	Πληροφορίες χρήστη	Informação de usuário	Kullanıcı bilgisi	Информация за потребителя	Felhasználói adatok	Información de usuario	Informazioni dell'utente	Подаци о кориснику	Informații despre utilizator
data_storage	Data storage	Datenspeicher	Przechowywanie danych	Хранилище данных	Data opslag	Stockage de données	Datové úložiště	Зберігання даних	Pohrana podataka	Αποθήκευση δεδομένων	Armazenamento de dados	Veri depolama	Хранилище за данни	Adattárolás	Almacenamiento de datos	Archivio dati	Складиштење података	Stocare a datelor
active	Active	Aktiv	Aktywny	Активный	Actief	Actif	Aktivní	Активний	Aktivan	Ενεργός	Ativo	Aktif	Активен	Aktív	Activo	Attivo	Активан	Activ
password_management	Password management	Passwortverwaltung	Zarządzanie hasłem	Управление паролем	Wachtwoordbeheer	Gestion des mots de passe	Správa hesel	Управління паролем	Upravljanje lozinkom	Διαχείριση κωδικών πρόσβασης	Gerenciamento de senhas	Şifre Yönetimi	Управление на паролата	Jelszó -kezelés	Gestión de contraseñas	Gestione della password	Управљање лозинком	Gestionarea parolei
menu_label	Menu	Speisekarte	Menu	Меню	Menu	Menu	Jídelní lístek	Меню	Jelovnik 	Μενού	Cardápio	Menü	Меню	Menü	Menú	Menù	Мени	Meniu
add_new_username	Add a new username	Fügen Sie einen neuen Benutzernamen hinzu	Dodaj nową nazwę użytkownika	Добавить новое имя пользователя	Voeg een nieuwe gebruikersnaam toe	Ajouter un nouveau nom d'utilisateur	Přidejte nové uživatelské jméno	Додайте нове ім’я користувача	Dodajte novo korisničko ime	Προσθέστε ένα νέο όνομα χρήστη	Adicione um novo nome de usuário	Yeni bir kullanıcı adı ekle	Добавете ново потребителско име	Adjon hozzá egy új felhasználónevet	Agregar un nuevo nombre de usuario	Aggiungi un nuovo nome utente	Додајте ново корисничко име	Adăugați un nume de utilizator nou
manage_connectivity	Manage connectivity	Konnektivität verwalten	Zarządzaj łącznością	Управлять подключением	Beheer connectiviteit	Gérer la connectivité	Správa připojení	Керуйте підключенням	Upravljanje povezivanjem	Διαχείριση συνδεσιμότητας	Gerenciar conectividade	Bağlantı Yönetin	Управление на свързаността	Kezelje a kapcsolatot	Administrar conectividad	Gestisci la connettività	Управљање повезивањем	Gestionează conectivitatea
search_for_carriers	Search for Carriers	Suche nach Trägern	Wyszukaj przewoźników	Поиск перевозчиков	Zoek naar vervoerders	Rechercher des transporteurs	Hledejte dopravce	Пошук перевізників	Potražite prijevoznike	Αναζήτηση μεταφορέων	Procure por operadoras	Taşıyıcıları arayın	Търсене на превозвачи	Keresse meg a fuvarozókat	Buscar operadores	Cerca vettori	Тражење превозника	Căutați transportatori
profile_list	Profile list	Profilliste	Lista profilu	Список профилей	Profiellijst	Liste de profils	Seznam profilů	Список профілів	Popis profila	Λίστα προφίλ	Lista de perfil	Profil listesi	Списък с профили	Profillista	Lista de perfil	Elenco dei profili	Листа профила	Lista de profile
tap_here_label	Tap here	Hier drücken	Naciśnij tutaj	Нажмите здесь	Klik hier	Appuyez ici	Klepněte sem	Натисніть тут	Dotaknite ovdje	Πάτα εδώ	Toque aqui	Buraya dokunun	Докоснете тук	Érintsd meg itt	Pulse aquí	Tocca qui	Кликни тамо	Atingeți aici
forgot_password_button_subtitle	Password needs to be recovered	Das Passwort muss wiederhergestellt werden	Hasło musi zostać odzyskane	Пароль необходимо восстановить	Wachtwoord moet worden hersteld	Le mot de passe doit être récupéré	Heslo je třeba obnovit	Пароль потрібно відновити	Lozinku treba povratiti	Ο κωδικός πρόσβασης πρέπει να ανακτηθεί	A senha precisa ser recuperada	Parola kurtarılması gerekiyor	Паролата трябва да бъде възстановена	A jelszót be kell állítani	La contraseña debe recuperarse	La password deve essere recuperata	Лозинка је потребно вратити	Parola trebuie recuperată
resend_email_button_title	No email received	Keine E -Mail erhalten	Brak otrzymania e -maila	Не было получено электронное письмо	Geen e -mail ontvangen	Aucun e-mail reçu	Žádný e -mail obdržel	Жодного електронного листа не отримано	Nije primljena e -mail	Δεν ελήφθη κανένα μήνυμα ηλεκτρονικού ταχυδρομείου	Nenhum e -mail recebido	E -posta alınmadı	Няма получен имейл	E -mail nem érkezett	No recibió correo electrónico	Nessuna e -mail ricevuta	Није примљен емаил	Nu a fost primit niciun e-mail
resend_email_button_subtitle	Email needs to be sent again	E -Mail muss erneut gesendet werden	E -mail musi zostać wysłany ponownie	Электронная почта должна быть отправлена ​​снова	E -mail moet opnieuw worden verzonden	Le courrier électronique doit être renvoyé	E -mail je třeba znovu odeslat	Електронна пошта потрібно надіслати знову	E -poštu treba ponovo poslati	Το email πρέπει να αποσταλεί ξανά	O email precisa ser enviado novamente	E -postanın tekrar gönderilmesi gerekiyor	Имейлът трябва да бъде изпратен отново	Az e -mailt újra el kell küldeni	El correo electrónico debe enviarse de nuevo	L'e -mail deve essere inviata di nuovo	Потребно је поново послати е-пошту	Emailul trebuie trimis din nou
pick_option	Pick option	Option auswählen	Opcja wyboru	Выберите вариант	Pick -optie	Choisir l'option	Vyberte možnost	Варіант вибору	Opcija odabira	Επιλογή επιλογής	Opção de escolha	Seç seçeneği	Изберете опция	Pick opció	Opción de seleccionar	Opzione Scegli	Опција за одабир	Alegeți opțiunea
login_problems_question_subtitle	What issues are you encountering when trying to login?	Welche Probleme begegnen Sie, wenn Sie versuchen, sich anzumelden?	Jakie problemy napotykasz, próbując się zalogować?	С какими проблемами вы сталкиваетесь при попытке войти в систему?	Welke problemen ondervindt u wanneer u probeert in te loggen?	Quels problèmes rencontrez-vous lorsque vous essayez de vous connecter?	S jakými problémy se setkáváte při pokusu o přihlášení?	З якими проблемами ви стикаєтесь, намагаючись увійти?	Na koje probleme se susrećete prilikom pokušaja prijave?	Ποια ζητήματα αντιμετωπίζετε όταν προσπαθείτε να συνδεθείτε;	Que problemas você está encontrando ao tentar fazer login?	Giriş yapmaya çalışırken hangi sorunlarla karşılaşıyorsunuz?	Какви проблеми срещате, когато се опитвате да влезете?	Milyen problémákkal szembesül a bejelentkezéskor?	¿Qué problemas te encuentras al intentar iniciar sesión?	Quali problemi stai riscontrando quando cerchi di accedere?	Које проблеме се сусрећете када се покушавате пријавити?	Ce probleme întâmpinați atunci când încercați să vă autentificați?
choose_option_below	Choose the option below.	Wählen Sie die Option unten.	Wybierz opcję poniżej.	Выберите вариант ниже.	Kies de onderstaande optie.	Choisissez l'option ci-dessous.	Vyberte možnost níže.	Виберіть варіант нижче.	Odaberite opciju u nastavku.	Επιλέξτε την παρακάτω επιλογή.	Escolha a opção abaixo.	Aşağıdaki seçeneği seçin.	Изберете опцията по -долу.	Válassza ki az alábbi lehetőséget.	Elija la opción a continuación.	Scegli l'opzione qui sotto.	Изаберите опцију испод.	Alegeți opțiunea de mai jos.
chose_driver_no_account	No account available	Kein Konto verfügbar	Brak konta dostępnego	Нет учетной записи	Geen account beschikbaar	Aucun compte disponible	Žádný účet	Немає облікового запису	Nije dostupan račun	Δεν υπάρχει διαθέσιμος λογαριασμός	Nenhuma conta disponível	Hesap yok	Няма наличен акаунт	Nincs számla elérhető	No hay cuenta disponible	Nessun account disponibile	Није доступан налог	Nu există cont disponibil
chose_driver_bullet_1	Contact your carrier to create a “Corporate” driver account.	Wenden Sie sich an Ihren Spediteur, um ein "Corporate" -Treiberkonto zu erstellen.	Skontaktuj się z przewoźnikiem, aby utworzyć konto kierowcy „korporacyjnego”.	Свяжитесь с вашим оператором, чтобы создать «корпоративный» аккаунт драйвера.	Neem contact op met uw koerier om een ​​"zakelijke" bestuurderaccount aan te maken.	Contactez votre opérateur pour créer un compte de pilote «d'entreprise».	Kontaktujte svého dopravce a vytvořte si účet řidiče „firemní“.	Зверніться до свого перевізника, щоб створити "корпоративний" обліковий запис драйвера.	Obratite se svom prijevozniku kako biste stvorili "korporativni" račun vozača.	Επικοινωνήστε με τον μεταφορέα σας για να δημιουργήσετε ένα λογαριασμό "εταιρικού" προγράμματος οδήγησης.	Entre em contato com sua operadora para criar uma conta de driver "corporativa".	“Kurumsal” sürücü hesabı oluşturmak için operatörünüze başvurun.	Свържете се с вашия превозвач, за да създадете „корпоративен“ акаунт на драйвер.	Vegye fel a kapcsolatot a fuvarozóval, hogy hozzon létre egy „vállalati” illesztőprogram -fiókot.	Póngase en contacto con su operador para crear una cuenta de conducir "corporativa".	Contatta il tuo corriere per creare un account driver "aziendale".	Обратите се свом превознику да бисте креирали "корпоративни" налог управљачког програма.	Contactați transportatorul dvs. pentru a crea un cont de șofer „corporativ”.
